Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GO_PROTEIN_TARGETING_TO_MEMBRANE,24,24/560,191/16881,8.786388261269993e-6,16409/57295/17913/20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/12568/67248/16785/57294/20084/19989/19941/20044/20068/26451,Itgam/Icmt/Myo1c/Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Cdk5/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000030786/ENSMUSG00000039662/ENSMUSG00000017774/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000028969/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_SECRETORY_GRANULE_MEMBRANE,31,31/560,300/16881,8.786388261269993e-6,18733/12273/210992/16409/11501/227288/16004/28240/100041146/18173/52855/15018/105855/235627/16790/12527/15015/235567/13367/19271/50770/56455/218454/246256/66508/69550/105722/208795/241633/15040/100038947,Pirb/C5ar1/Lpcat1/Itgam/Adam8/Cxcr1/Igf2r/Trpm2/Gm15448/Slc11a1/Lair1/H2-Q7/Nckap1l/Nbeal2/Anpep/Cd9/H2-Q4/Dnajc13/Diaph1/Ptprj/Atp11a/Dynll1/Lhfpl2/Fcgr4/Lamtor1/Bst2/Ano6/Tmem63a/Atp8b4/H2-T23/Sirpb1c,ENSMUSG00000058818/ENSMUSG00000049130/ENSMUSG00000021608/ENSMUSG00000030786/ENSMUSG00000025473/ENSMUSG00000048480/ENSMUSG00000023830/ENSMUSG00000009292/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000055541/ENSMUSG00000060550/ENSMUSG00000022488/ENSMUSG00000056724/ENSMUSG00000039062/ENSMUSG00000030342/ENSMUSG00000035929/ENSMUSG00000032560/ENSMUSG00000024456/ENSMUSG00000025314/ENSMUSG00000031441/ENSMUSG00000009013/ENSMUSG00000045312/ENSMUSG00000059089/ENSMUSG00000030842/ENSMUSG00000046718/ENSMUSG00000064210/ENSMUSG00000026519/ENSMUSG00000060131/ENSMUSG00000067212/ENSMUSG00000074677,C5
GO_RIBOSOMAL_SUBUNIT,23,23/560,183/16881,1.5468768953403046e-5,121022/66211/20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/67681/67248/16785/57294/20084/19989/19941/20044/20068/26451,Mrps6/Rpl3l/Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Mrpl18/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000039680/ENSMUSG00000002500/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000057388/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_TERTIARY_GRANULE,21,21/560,161/16881,2.9204353846731304e-5,18733/16409/11501/28240/100041146/18173/52855/105855/235627/18636/20430/14276/12010/13367/50770/56455/66508/105722/208795/241633/20740,Pirb/Itgam/Adam8/Trpm2/Gm15448/Slc11a1/Lair1/Nckap1l/Nbeal2/Cfp/Cyfip1/Folr2/B2m/Diaph1/Atp11a/Dynll1/Lamtor1/Ano6/Tmem63a/Atp8b4/Sptan1,ENSMUSG00000058818/ENSMUSG00000030786/ENSMUSG00000025473/ENSMUSG00000009292/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000055541/ENSMUSG00000022488/ENSMUSG00000056724/ENSMUSG00000001128/ENSMUSG00000030447/ENSMUSG00000032725/ENSMUSG00000060802/ENSMUSG00000024456/ENSMUSG00000031441/ENSMUSG00000009013/ENSMUSG00000030842/ENSMUSG00000064210/ENSMUSG00000026519/ENSMUSG00000060131/ENSMUSG00000057738,C5
GO_TERTIARY_GRANULE_MEMBRANE,13,13/560,70/16881,1.3515146255916168e-4,18733/16409/11501/28240/100041146/18173/52855/235627/50770/56455/105722/208795/241633,Pirb/Itgam/Adam8/Trpm2/Gm15448/Slc11a1/Lair1/Nbeal2/Atp11a/Dynll1/Ano6/Tmem63a/Atp8b4,ENSMUSG00000058818/ENSMUSG00000030786/ENSMUSG00000025473/ENSMUSG00000009292/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000055541/ENSMUSG00000056724/ENSMUSG00000031441/ENSMUSG00000009013/ENSMUSG00000064210/ENSMUSG00000026519/ENSMUSG00000060131,C5
GO_PROTEIN_TARGETING,35,35/560,418/16881,1.5417221931149475e-4,15925/16409/57295/17913/56322/212503/20104/320528/20005/75617/66865/18126/78294/26961/110954/20091/76846/73078/19921/27176/15519/23807/19951/12568/66177/67248/16785/216440/57294/20084/19989/19941/20044/20068/26451,Ide/Itgam/Icmt/Myo1c/Timm22/Paox/Rps6/Vps13c/Rpl9/Rps25/Pmpca/Nos2/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Pmpcb/Rpl19/Rpl7a/Hsp90aa1/Arih2/Rpl32/Cdk5/Ubl5/Rpl39/Rpsa/Os9/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000056999/ENSMUSG00000030786/ENSMUSG00000039662/ENSMUSG00000017774/ENSMUSG00000020843/ENSMUSG00000025464/ENSMUSG00000028495/ENSMUSG00000035284/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000026926/ENSMUSG00000020826/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000029017/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000021270/ENSMUSG00000064145/ENSMUSG00000057841/ENSMUSG00000028969/ENSMUSG00000084786/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000040462/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,36,36/560,440/16881,1.7358028696297113e-4,100038909/102657/18733/12978/12273/11501/332579/232801/12608/12481/195046/100041146/54725/18173/16177/15018/67581/19883/21825/16162/17381/18726/20846/12010/26409/19271/16168/16190/20848/11911/99371/17196/16452/15040/19766/69833,Gm14548/Cd276/Pirb/Csf1r/C5ar1/Adam8/Card9/Lilra5/Cebpb/Cd2/Nlrp1a/Gm15448/Cadm1/Slc11a1/Il1r1/H2-Q7/Tbc1d23/Rora/Thbs1/Il12rb2/Mmp12/Lilra6/Stat1/B2m/Map3k7/Ptprj/Il15/Il4ra/Stat3/Atf4/Arfgef2/Mbp/Jak2/H2-T23/Ripk1/Polr2f,ENSMUSG00000074417/ENSMUSG00000035914/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000025473/ENSMUSG00000026928/ENSMUSG00000070873/ENSMUSG00000056501/ENSMUSG00000027863/ENSMUSG00000069830/ENSMUSG00000074419/ENSMUSG00000032076/ENSMUSG00000026177/ENSMUSG00000026072/ENSMUSG00000060550/ENSMUSG00000022749/ENSMUSG00000032238/ENSMUSG00000040152/ENSMUSG00000018341/ENSMUSG00000049723/ENSMUSG00000030427/ENSMUSG00000026104/ENSMUSG00000060802/ENSMUSG00000028284/ENSMUSG00000025314/ENSMUSG00000031712/ENSMUSG00000030748/ENSMUSG00000004040/ENSMUSG00000042406/ENSMUSG00000074582/ENSMUSG00000041607/ENSMUSG00000024789/ENSMUSG00000067212/ENSMUSG00000021408/ENSMUSG00000033020,C5
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,10,10/560,42/16881,2.2044488112008375e-4,20104/75617/78294/20091/76846/16785/57294/20084/20044/20068,Rps6/Rps25/Rps27a/Rps3a1/Rps9/Rpsa/Rps27/Rps18/Rps14/Rps17,ENSMUSG00000028495/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000024608/ENSMUSG00000061787,C5
GO_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL,6,6/560,12/16881,2.4160764984793154e-4,100038909/18733/100041146/18726/15000/54519,Gm14548/Pirb/Gm15448/Lilra6/H2-DMb2/Apbb1ip,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000030427/ENSMUSG00000037548/ENSMUSG00000026786,C5
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,29,29/560,320/16881,2.4160764984793154e-4,16409/57295/17913/56322/12484/20104/20005/227648/75617/78294/26961/110954/20091/76846/19921/27176/15519/19951/12568/67248/16785/57294/20084/19989/19941/12028/20044/20068/26451,Itgam/Icmt/Myo1c/Timm22/Cd24a/Rps6/Rpl9/Sec16a/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Hsp90aa1/Rpl32/Cdk5/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Bax/Rps14/Rps17/Rpl27a,ENSMUSG00000030786/ENSMUSG00000039662/ENSMUSG00000017774/ENSMUSG00000020843/ENSMUSG00000047139/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000026924/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000021270/ENSMUSG00000057841/ENSMUSG00000028969/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000003873/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,22,22/560,204/16881,2.736233969374534e-4,20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/50783/67248/16785/57294/20084/75901/19989/19941/20044/20068/26451,Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Lsm4/Rpl39/Rpsa/Rps27/Rps18/Dcp1a/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000031848/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000021962/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_RIBOSOME,23,23/560,221/16881,2.798420172396141e-4,121022/66211/20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/67681/67248/16785/57294/20084/19989/19941/20044/20068/26451,Mrps6/Rpl3l/Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Mrpl18/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000039680/ENSMUSG00000002500/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000057388/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,11,11/560,57/16881,4.5966097641009826e-4,66211/20005/26961/110954/19921/27176/19951/67248/19989/19941/26451,Rpl3l/Rpl9/Rpl8/Rpl10/Rpl19/Rpl7a/Rpl32/Rpl39/Rpl7/Rpl26/Rpl27a,ENSMUSG00000002500/ENSMUSG00000047215/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000079641/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000046364,C5
GO_CELL_LEADING_EDGE,32,32/560,395/16881,6.411397538051971e-4,121021/72333/170835/66610/13823/215632/19200/23921/77579/17913/20430/68732/11789/30794/102058/21894/13367/19271/246177/27403/17886/20947/11911/67784/12549/17909/327957/12568/54519/16332/19303/241226,Cspg4/Palld/Inpp5j/Abi3/Epb41l3/Psd4/Pstpip1/Sh2b2/Myh10/Myo1c/Cyfip1/Carmil1/Apc/Pdlim4/Exoc8/Tln1/Diaph1/Ptprj/Myo1g/Abca7/Myh9/Swap70/Atf4/Plxnd1/Arhgap31/Myo10/Scimp/Cdk5/Apbb1ip/Inppl1/Pxn/Itga8,ENSMUSG00000032911/ENSMUSG00000058056/ENSMUSG00000034570/ENSMUSG00000018381/ENSMUSG00000024044/ENSMUSG00000026979/ENSMUSG00000032322/ENSMUSG00000005057/ENSMUSG00000020900/ENSMUSG00000017774/ENSMUSG00000030447/ENSMUSG00000021338/ENSMUSG00000005871/ENSMUSG00000020388/ENSMUSG00000074030/ENSMUSG00000028465/ENSMUSG00000024456/ENSMUSG00000025314/ENSMUSG00000020437/ENSMUSG00000035722/ENSMUSG00000022443/ENSMUSG00000031015/ENSMUSG00000042406/ENSMUSG00000030123/ENSMUSG00000022799/ENSMUSG00000022272/ENSMUSG00000057135/ENSMUSG00000028969/ENSMUSG00000026786/ENSMUSG00000032737/ENSMUSG00000029528/ENSMUSG00000026768,C5
GO_T_CELL_MEDIATED_IMMUNITY,15,15/560,112/16881,8.18705063088647e-4,100038909/18733/110557/100041146/18173/16177/15018/18726/15015/12010/26409/246177/16449/15040/68137,Gm14548/Pirb/H2-Q6/Gm15448/Slc11a1/Il1r1/H2-Q7/Lilra6/H2-Q4/B2m/Map3k7/Myo1g/Jag1/H2-T23/Kdelr1,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000073409/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000026072/ENSMUSG00000060550/ENSMUSG00000030427/ENSMUSG00000035929/ENSMUSG00000060802/ENSMUSG00000028284/ENSMUSG00000020437/ENSMUSG00000027276/ENSMUSG00000067212/ENSMUSG00000002778,C5
GO_OSTEOCLAST_DEVELOPMENT,7,7/560,22/16881,8.534834152405655e-4,100038909/18733/100041146/238377/18726/233328/18129,Gm14548/Pirb/Gm15448/Gpr68/Lilra6/Lrrk1/Notch2,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000047415/ENSMUSG00000030427/ENSMUSG00000015133/ENSMUSG00000027878,C5
