category,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
H,02,463,142,4395,HALLMARK_ALLOGRAFT_REJECTION,8,204,0.0392156862745098,0.9987133739846927,0.9987133739846926,18126/16452/230861/16408/56501/192176/54698/12445,Nos2/Jak2/Eif4g3/Itgal/Elf4/Flna/Crtam/Ccnd3,ENSMUSG00000020826/ENSMUSG00000024789/ENSMUSG00000028760/ENSMUSG00000030830/ENSMUSG00000031103/ENSMUSG00000031328/ENSMUSG00000032021/ENSMUSG00000034165
H,02,463,142,4395,HALLMARK_ANDROGEN_RESPONSE,2,111,0.018018018018018018,0.9987133739846927,0.9987133739846926,17988/12445,Ndrg1/Ccnd3,ENSMUSG00000005125/ENSMUSG00000034165
H,02,463,142,4395,HALLMARK_APICAL_JUNCTION,7,199,0.035175879396984924,0.9987133739846927,0.9987133739846926,12561/17886/20970/56492/16332/75599/381921,Cdh4/Myh9/Sdc3/Cldn18/Inppl1/Pcdh1/Taok2,ENSMUSG00000000305/ENSMUSG00000022443/ENSMUSG00000025743/ENSMUSG00000032473/ENSMUSG00000032737/ENSMUSG00000051375/ENSMUSG00000059981
H,02,463,142,4395,HALLMARK_APICAL_SURFACE,2,44,0.045454545454545456,0.9987133739846927,0.9987133739846926,11630/230872,Crybg1/Crocc,ENSMUSG00000019866/ENSMUSG00000040860
H,02,463,142,4395,HALLMARK_APOPTOSIS,6,161,0.037267080745341616,0.9987133739846927,0.9987133739846926,13867/21973/11518/14863/228355/20740,Erbb3/Top2a/Add1/Gstm2/Madd/Sptan1,ENSMUSG00000018166/ENSMUSG00000020914/ENSMUSG00000029106/ENSMUSG00000040562/ENSMUSG00000040687/ENSMUSG00000057738
H,02,463,142,4395,HALLMARK_BILE_ACID_METABOLISM,3,113,0.02654867256637168,0.9987133739846927,0.9987133739846926,14081/11305/66887,Acsl1/Abca2/Lonp2,ENSMUSG00000018796/ENSMUSG00000026944/ENSMUSG00000047866
H,02,463,142,4395,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1,74,0.013513513513513514,0.9987133739846927,0.9987133739846926,11305,Abca2,ENSMUSG00000026944
H,02,463,142,4395,HALLMARK_COMPLEMENT,3,197,0.015228426395939087,0.9987133739846927,0.9987133739846926,16452/210293/70675,Jak2/Dock10/Vcpip1,ENSMUSG00000024789/ENSMUSG00000038608/ENSMUSG00000045210
H,02,463,142,4395,HALLMARK_DNA_REPAIR,3,150,0.02,0.9987133739846927,0.9987133739846926,20020/11512/18971,Polr2a/Adcy6/Pold1,ENSMUSG00000005198/ENSMUSG00000022994/ENSMUSG00000038644
H,02,463,142,4395,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,200,0.02,0.9987133739846927,0.9987133739846926,20969/226519/18129/192176,Sdc1/Lamc1/Notch2/Flna,ENSMUSG00000020592/ENSMUSG00000026478/ENSMUSG00000027878/ENSMUSG00000031328
H,02,463,142,4395,HALLMARK_ESTROGEN_RESPONSE_EARLY,5,200,0.025,0.9987133739846927,0.9987133739846926,193796/16452/27360/286940/64292,Kdm4b/Jak2/Add3/Flnb/Ptges,ENSMUSG00000024201/ENSMUSG00000024789/ENSMUSG00000025026/ENSMUSG00000025278/ENSMUSG00000050737
H,02,463,142,4395,HALLMARK_ESTROGEN_RESPONSE_LATE,7,206,0.03398058252427184,0.9987133739846927,0.9987133739846926,217325/21973/16452/27360/286940/16451/64292,Llgl2/Top2a/Jak2/Add3/Flnb/Jak1/Ptges,ENSMUSG00000020782/ENSMUSG00000020914/ENSMUSG00000024789/ENSMUSG00000025026/ENSMUSG00000025278/ENSMUSG00000028530/ENSMUSG00000050737
H,02,463,142,4395,HALLMARK_FATTY_ACID_METABOLISM,2,160,0.0125,0.9987133739846927,0.9987133739846926,14081/231086,Acsl1/Hadhb,ENSMUSG00000018796/ENSMUSG00000059447
H,02,463,142,4395,HALLMARK_HYPOXIA,8,201,0.03980099502487562,0.9987133739846927,0.9987133739846926,15277/17988/50527/17886/20970/52231/14284/12452,Hk2/Ndrg1/Ero1l/Myh9/Sdc3/Ankzf1/Fosl2/Ccng2,ENSMUSG00000000628/ENSMUSG00000005125/ENSMUSG00000021831/ENSMUSG00000022443/ENSMUSG00000025743/ENSMUSG00000026199/ENSMUSG00000029135/ENSMUSG00000029385
H,02,463,142,4395,HALLMARK_IL2_STAT5_SIGNALING,6,200,0.03,0.9987133739846927,0.9987133739846926,15277/20514/17988/17979/12445/69863,Hk2/Slc1a5/Ndrg1/Ncoa3/Ccnd3/Ttc39b,ENSMUSG00000000628/ENSMUSG00000001918/ENSMUSG00000005125/ENSMUSG00000027678/ENSMUSG00000034165/ENSMUSG00000038172
H,02,463,142,4395,HALLMARK_IL6_JAK_STAT3_SIGNALING,1,88,0.011363636363636364,0.9987133739846927,0.9987133739846926,54721,Tyk2,ENSMUSG00000032175
H,02,463,142,4395,HALLMARK_INFLAMMATORY_RESPONSE,3,199,0.01507537688442211,0.9987133739846927,0.9987133739846926,17295/19267/16561,Met/Ptpre/Kif1b,ENSMUSG00000009376/ENSMUSG00000041836/ENSMUSG00000063077
H,02,463,142,4395,HALLMARK_INTERFERON_ALPHA_RESPONSE,4,102,0.0392156862745098,0.9987133739846927,0.9987133739846926,74157/56417/74153/547253,Cmtr1/Adar/Uba7/Parp14,ENSMUSG00000024019/ENSMUSG00000027951/ENSMUSG00000032596/ENSMUSG00000034422
H,02,463,142,4395,HALLMARK_INTERFERON_GAMMA_RESPONSE,7,208,0.03365384615384615,0.9987133739846927,0.9987133739846926,74157/16452/17979/56417/547253/98999/434341,Cmtr1/Jak2/Ncoa3/Adar/Parp14/Znfx1/Nlrc5,ENSMUSG00000024019/ENSMUSG00000024789/ENSMUSG00000027678/ENSMUSG00000027951/ENSMUSG00000034422/ENSMUSG00000039501/ENSMUSG00000074151
H,02,463,142,4395,HALLMARK_KRAS_SIGNALING_DN,2,205,0.00975609756097561,0.9987133739846927,0.9987133739846926,19271/227541,Ptprj/Camk1d,ENSMUSG00000025314/ENSMUSG00000039145
H,02,463,142,4395,HALLMARK_KRAS_SIGNALING_UP,4,204,0.0196078431372549,0.9987133739846927,0.9987133739846926,94176/18080/50527/78937,Dock2/Nin/Ero1l/Avl9,ENSMUSG00000020143/ENSMUSG00000021068/ENSMUSG00000021831/ENSMUSG00000029787
H,02,463,142,4395,HALLMARK_MTORC1_SIGNALING,6,200,0.03,0.9987133739846927,0.9987133739846926,15277/20514/50527/27360/26570/70699,Hk2/Slc1a5/Ero1l/Add3/Slc7a11/Nup205,ENSMUSG00000000628/ENSMUSG00000001918/ENSMUSG00000021831/ENSMUSG00000025026/ENSMUSG00000027737/ENSMUSG00000038759
H,02,463,142,4395,HALLMARK_MYC_TARGETS_V1,2,200,0.01,0.9987133739846927,0.9987133739846926,18972/101943,Pold2/Sf3b3,ENSMUSG00000020471/ENSMUSG00000033732
H,02,463,142,4395,HALLMARK_MYC_TARGETS_V2,1,58,0.017241379310344827,0.9987133739846927,0.9987133739846926,15277,Hk2,ENSMUSG00000000628
H,02,463,142,4395,HALLMARK_MYOGENESIS,8,200,0.04,0.9987133739846927,0.9987133739846926,15184/13867/14081/29856/11568/17886/140570/20740,Hdac5/Erbb3/Acsl1/Smtn/Aebp1/Myh9/Plxnb2/Sptan1,ENSMUSG00000008855/ENSMUSG00000018166/ENSMUSG00000018796/ENSMUSG00000020439/ENSMUSG00000020473/ENSMUSG00000022443/ENSMUSG00000036606/ENSMUSG00000057738
H,02,463,142,4395,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,198,0.005050505050505051,0.9987133739846927,0.9987133739846926,231086,Hadhb,ENSMUSG00000059447
H,02,463,142,4395,HALLMARK_PEROXISOME,4,107,0.037383177570093455,0.9987133739846927,0.9987133739846926,14081/21973/27416/66887,Acsl1/Top2a/Abcc5/Lonp2,ENSMUSG00000018796/ENSMUSG00000020914/ENSMUSG00000022822/ENSMUSG00000047866
H,02,463,142,4395,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1,105,0.009523809523809525,0.9987133739846927,0.9987133739846926,74370,Rptor,ENSMUSG00000025583
H,02,463,142,4395,HALLMARK_PROTEIN_SECRETION,3,96,0.03125,0.9987133739846927,0.9987133739846926,16561/99371/12176,Kif1b/Arfgef2/Bnip3,ENSMUSG00000063077/ENSMUSG00000074582/ENSMUSG00000078566
H,02,463,142,4395,HALLMARK_SPERMATOGENESIS,5,135,0.037037037037037035,0.9987133739846927,0.9987133739846926,20496/21888/56717/235559/27399,Slc12a2/Tle4/Mtor/Topbp1/Ip6k1,ENSMUSG00000024597/ENSMUSG00000024642/ENSMUSG00000028991/ENSMUSG00000032555/ENSMUSG00000032594
H,02,463,142,4395,HALLMARK_TGF_BETA_SIGNALING,1,54,0.018518518518518517,0.9987133739846927,0.9987133739846926,20742,Sptbn1,ENSMUSG00000020315
H,02,463,142,4395,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3,200,0.015,0.9987133739846927,0.9987133739846926,54446/14284/19267,Nfat5/Fosl2/Ptpre,ENSMUSG00000003847/ENSMUSG00000029135/ENSMUSG00000041836
H,02,463,142,4395,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5,113,0.04424778761061947,0.9987133739846927,0.9987133739846926,104625/50527/75901/56454/13191,Cnot6/Ero1l/Dcp1a/Aldh18a1/Dctn1,ENSMUSG00000020362/ENSMUSG00000021831/ENSMUSG00000021962/ENSMUSG00000025007/ENSMUSG00000031865
H,02,463,142,4395,HALLMARK_UV_RESPONSE_UP,2,162,0.012345679012345678,0.9987133739846927,0.9987133739846926,53319/12445,Nxf1/Ccnd3,ENSMUSG00000010097/ENSMUSG00000034165
H,02,463,142,4395,HALLMARK_WNT_BETA_CATENIN_SIGNALING,2,42,0.047619047619047616,0.9987133739846927,0.9987133739846926,15184/14362,Hdac5/Fzd1,ENSMUSG00000008855/ENSMUSG00000044674
H,02,463,142,4395,HALLMARK_XENOBIOTIC_METABOLISM,4,202,0.019801980198019802,0.9987133739846927,0.9987133739846926,20514/76884/22436/64292,Slc1a5/Cyfip2/Xdh/Ptges,ENSMUSG00000001918/ENSMUSG00000020340/ENSMUSG00000024066/ENSMUSG00000050737
H,01,583,188,4395,HALLMARK_OXIDATIVE_PHOSPHORYLATION,31,198,0.15656565656565657,5.37523514906075e-9,4.7971206135782445e-9,12858/15929/66043/12034/68349/11951/11974/228033/11973/66594/30056/22334/55951/72900/20463/66495/30059/170718/66046/67460/66407/67003/66290/24030/56451/66223/66052/14297/18674/230075/625249,Cox5a/Idh3g/Atp5d/Phb2/Ndufs3/Atp5g1/Atp6v0e/Atp5g3/Atp6v1e1/Uqcr11/Timm9/Vdac2/Mpc1/Ndufv2/Cox7a2l/Ndufb3/Timm10/Idh3b/Ndufb5/Decr1/Mrps15/Uqcrc2/Atp6v1g1/Mrps12/Suclg1/Mrpl35/Sdhc/Fxn/Slc25a3/Ndufb6/Gpx4,ENSMUSG00000000088/ENSMUSG00000002010/ENSMUSG00000003072/ENSMUSG00000004264/ENSMUSG00000005510/ENSMUSG00000006057/ENSMUSG00000015575/ENSMUSG00000018770/ENSMUSG00000019210/ENSMUSG00000020163/ENSMUSG00000021079/ENSMUSG00000021771/ENSMUSG00000023861/ENSMUSG00000024099/ENSMUSG00000024248/ENSMUSG00000026032/ENSMUSG00000027076/ENSMUSG00000027406/ENSMUSG00000027673/ENSMUSG00000028223/ENSMUSG00000028861/ENSMUSG00000030884/ENSMUSG00000039105/ENSMUSG00000045948/ENSMUSG00000052738/ENSMUSG00000052962/ENSMUSG00000058076/ENSMUSG00000059363/ENSMUSG00000061904/ENSMUSG00000071014/ENSMUSG00000075706
H,01,583,188,4395,HALLMARK_MYC_TARGETS_V1,23,200,0.115,2.3315412531774328e-4,2.080780523430661e-4,12858/15982/12034/19166/55944/12261/22627/26443/22194/18813/28126/19359/26445/19384/57296/27050/26441/11792/13681/53607/18674/15528/233870,Cox5a/Ifrd1/Phb2/Psma2/Eif3d/C1qbp/Ywhae/Psma6/Ube2e1/Pa2g4/Nop16/Rad23b/Psmb2/Ran/Psmd8/Rps3/Psma4/Apex1/Eif4a1/Snrpa/Slc25a3/Hspe1/Tufm,ENSMUSG00000000088/ENSMUSG00000001627/ENSMUSG00000004264/ENSMUSG00000015671/ENSMUSG00000016554/ENSMUSG00000018446/ENSMUSG00000020849/ENSMUSG00000021024/ENSMUSG00000021774/ENSMUSG00000025364/ENSMUSG00000025869/ENSMUSG00000028426/ENSMUSG00000028837/ENSMUSG00000029430/ENSMUSG00000030591/ENSMUSG00000030744/ENSMUSG00000032301/ENSMUSG00000035960/ENSMUSG00000059796/ENSMUSG00000061479/ENSMUSG00000061904/ENSMUSG00000073676/ENSMUSG00000073838
H,01,583,188,4395,HALLMARK_ADIPOGENESIS,17,200,0.085,0.043999639500872094,0.03926741282686526,15929/68349/13476/66594/26379/22340/11363/67460/230027/67914/56451/66052/66205/11770/67809/67247/625249,Idh3g/Ndufs3/Reep5/Uqcr11/Esrra/Vegfb/Acadl/Decr1/Coq3/Coq9/Suclg1/Sdhc/Cd302/Fabp4/Rmdn3/Marc2/Gpx4,ENSMUSG00000002010/ENSMUSG00000005510/ENSMUSG00000005873/ENSMUSG00000020163/ENSMUSG00000024955/ENSMUSG00000024962/ENSMUSG00000026003/ENSMUSG00000028223/ENSMUSG00000028247/ENSMUSG00000031782/ENSMUSG00000052738/ENSMUSG00000058076/ENSMUSG00000060703/ENSMUSG00000062515/ENSMUSG00000070730/ENSMUSG00000073481/ENSMUSG00000075706
H,01,583,188,4395,HALLMARK_FATTY_ACID_METABOLISM,15,160,0.09375,0.043999639500872094,0.03926741282686526,109778/15929/15519/23986/11363/170718/67460/17025/15356/22275/73724/74754/11792/56451/66052,Blvra/Idh3g/Hsp90aa1/Eci2/Acadl/Idh3b/Decr1/Alad/Hmgcl/Urod/Mcee/Dhcr24/Apex1/Suclg1/Sdhc,ENSMUSG00000001999/ENSMUSG00000002010/ENSMUSG00000021270/ENSMUSG00000021417/ENSMUSG00000026003/ENSMUSG00000027406/ENSMUSG00000028223/ENSMUSG00000028393/ENSMUSG00000028672/ENSMUSG00000028684/ENSMUSG00000033429/ENSMUSG00000034926/ENSMUSG00000035960/ENSMUSG00000052738/ENSMUSG00000058076
H,01,583,188,4395,HALLMARK_MTORC1_SIGNALING,17,200,0.085,0.043999639500872094,0.03926741282686526,15982/66143/12317/11951/12301/14718/23997/67890/19181/12527/13595/26441/74754/69071/14433/19167/15528,Ifrd1/Eef1e1/Calr/Atp5g1/Cacybp/Got1/Psmd13/Ufm1/Psmc2/Cd9/Ebp/Psma4/Dhcr24/Tmem97/Gapdh/Psma3/Hspe1,ENSMUSG00000001627/ENSMUSG00000001707/ENSMUSG00000003814/ENSMUSG00000006057/ENSMUSG00000014226/ENSMUSG00000025190/ENSMUSG00000025487/ENSMUSG00000027746/ENSMUSG00000028932/ENSMUSG00000030342/ENSMUSG00000031168/ENSMUSG00000032301/ENSMUSG00000034926/ENSMUSG00000037278/ENSMUSG00000057666/ENSMUSG00000060073/ENSMUSG00000073676
H,01,583,188,4395,HALLMARK_INTERFERON_GAMMA_RESPONSE,15,208,0.07211538461538461,0.24045921955565844,0.21459747282999267,19166/16149/26445/12363/19039/140795/14960/14998/66988/22320/19167/14969/12010/52668/15040,Psma2/Cd74/Psmb2/Casp4/Lgals3bp/P2ry14/H2-Aa/H2-DMa/Lap3/Vamp8/Psma3/H2-Eb1/B2m/Ifi27/H2-T23,ENSMUSG00000015671/ENSMUSG00000024610/ENSMUSG00000028837/ENSMUSG00000033538/ENSMUSG00000033880/ENSMUSG00000036381/ENSMUSG00000036594/ENSMUSG00000037649/ENSMUSG00000039682/ENSMUSG00000050732/ENSMUSG00000060073/ENSMUSG00000060586/ENSMUSG00000060802/ENSMUSG00000064215/ENSMUSG00000067212
H,01,583,188,4395,HALLMARK_CHOLESTEROL_HOMEOSTASIS,7,74,0.0945945945945946,0.24691365473492294,0.2203577239053088,16592/68603/12527/13595/69071/17855/110196,Fabp5/Pmvk/Cd9/Ebp/Tmem97/Mvk/Fdps,ENSMUSG00000027533/ENSMUSG00000027952/ENSMUSG00000030342/ENSMUSG00000031168/ENSMUSG00000037278/ENSMUSG00000041939/ENSMUSG00000059743
H,01,583,188,4395,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5,49,0.10204081632653061,0.32527209378343186,0.29028859628269665,15369/21672/109815/625249/68576,Hmox2/Prdx2/Selenos/Gpx4/Lamtor5,ENSMUSG00000004070/ENSMUSG00000005161/ENSMUSG00000075701/ENSMUSG00000075706/ENSMUSG00000087260
H,01,583,188,4395,HALLMARK_INTERFERON_ALPHA_RESPONSE,8,102,0.0784313725490196,0.35284151415517667,0.3148928844863133,16149/73711/19039/66988/19167/12010/52668/15040,Cd74/Mvb12a/Lgals3bp/Lap3/Psma3/B2m/Ifi27/H2-T23,ENSMUSG00000024610/ENSMUSG00000031813/ENSMUSG00000033880/ENSMUSG00000039682/ENSMUSG00000060073/ENSMUSG00000060802/ENSMUSG00000064215/ENSMUSG00000067212
H,01,583,188,4395,HALLMARK_MYC_TARGETS_V2,5,58,0.08620689655172414,0.4623501141809128,0.41262367169463615,18813/28126/69071/227746/15528,Pa2g4/Nop16/Tmem97/Rabepk/Hspe1,ENSMUSG00000025364/ENSMUSG00000025869/ENSMUSG00000037278/ENSMUSG00000070953/ENSMUSG00000073676
H,01,583,188,4395,HALLMARK_HEME_METABOLISM,12,195,0.06153846153846154,0.5368755944596144,0.4791338257191068,11433/71538/109778/21672/12177/17025/22275/17524/66171/66943/66935/15199,Acp5/Fbxo9/Blvra/Prdx2/Bnip3l/Alad/Urod/Mpp1/Pgls/Pqlc1/Cir1/Hebp1,ENSMUSG00000001348/ENSMUSG00000001366/ENSMUSG00000001999/ENSMUSG00000005161/ENSMUSG00000022051/ENSMUSG00000028393/ENSMUSG00000028684/ENSMUSG00000031402/ENSMUSG00000031807/ENSMUSG00000034006/ENSMUSG00000041777/ENSMUSG00000042770
H,01,583,188,4395,HALLMARK_ANDROGEN_RESPONSE,7,111,0.06306306306306306,0.7506968700952473,0.6699583051193283,18813/13167/71817/66065/72155/74754/12010,Pa2g4/Dbi/Tmem50a/Hsd17b14/Cenpn/Dhcr24/B2m,ENSMUSG00000025364/ENSMUSG00000026385/ENSMUSG00000028822/ENSMUSG00000030825/ENSMUSG00000031756/ENSMUSG00000034926/ENSMUSG00000060802
H,01,583,188,4395,HALLMARK_DNA_REPAIR,8,150,0.05333333333333334,0.9553314420667716,0.8525841244989495,11821/56044/67996/18100/66979/68134/22059/625249,Aprt/Rala/Srsf6/Mrpl40/Pole4/Upf3b/Trp53/Gpx4,ENSMUSG00000006589/ENSMUSG00000008859/ENSMUSG00000016921/ENSMUSG00000022706/ENSMUSG00000030042/ENSMUSG00000036572/ENSMUSG00000059552/ENSMUSG00000075706
H,01,583,188,4395,HALLMARK_PEROXISOME,6,107,0.056074766355140186,0.9553314420667716,0.8525841244989495,23986/15461/15356/76263/74754/110196,Eci2/Hras/Hmgcl/Gstk1/Dhcr24/Fdps,ENSMUSG00000021417/ENSMUSG00000025499/ENSMUSG00000028672/ENSMUSG00000029864/ENSMUSG00000034926/ENSMUSG00000059743
H,01,583,188,4395,HALLMARK_PI3K_AKT_MTOR_SIGNALING,6,105,0.05714285714285714,0.9553314420667716,0.8525841244989495,12317/67605/192662/15461/21937/14784,Calr/Akt1s1/Arhgdia/Hras/Tnfrsf1a/Grb2,ENSMUSG00000003814/ENSMUSG00000011096/ENSMUSG00000025132/ENSMUSG00000025499/ENSMUSG00000030341/ENSMUSG00000059923
H,01,583,188,4395,HALLMARK_ALLOGRAFT_REJECTION,8,204,0.0392156862745098,0.9989063819278544,0.891472514763989,21803/55944/16149/94062/14960/14998/12010/15040,Tgfb1/Eif3d/Cd74/Mrpl3/H2-Aa/H2-DMa/B2m/H2-T23,ENSMUSG00000002603/ENSMUSG00000016554/ENSMUSG00000024610/ENSMUSG00000032563/ENSMUSG00000036594/ENSMUSG00000037649/ENSMUSG00000060802/ENSMUSG00000067212
H,01,583,188,4395,HALLMARK_APICAL_JUNCTION,5,199,0.02512562814070352,0.9989063819278544,0.891472514763989,20410/15461/11790/20163/18515,Sorbs3/Hras/Speg/Rsu1/Pbx2,ENSMUSG00000022091/ENSMUSG00000025499/ENSMUSG00000026207/ENSMUSG00000026727/ENSMUSG00000034673
H,01,583,188,4395,HALLMARK_APOPTOSIS,8,161,0.049689440993788817,0.9989063819278544,0.891472514763989,22334/12177/13595/12363/223453/11852/65111/625249,Vdac2/Bnip3l/Ebp/Casp4/Dap/Rhob/Dap3/Gpx4,ENSMUSG00000021771/ENSMUSG00000022051/ENSMUSG00000031168/ENSMUSG00000033538/ENSMUSG00000039168/ENSMUSG00000054364/ENSMUSG00000068921/ENSMUSG00000075706
H,01,583,188,4395,HALLMARK_BILE_ACID_METABOLISM,4,113,0.035398230088495575,0.9989063819278544,0.891472514763989,111175/76263/74754/12642,Pecr/Gstk1/Dhcr24/Ch25h,ENSMUSG00000026189/ENSMUSG00000029864/ENSMUSG00000034926/ENSMUSG00000050370
H,01,583,188,4395,HALLMARK_COAGULATION,6,141,0.0425531914893617,0.9989063819278544,0.891472514763989,13039/76467/67898/14693/12527/17133,Ctsl/Msrb2/Pef1/Gnb2/Cd9/Maff,ENSMUSG00000021477/ENSMUSG00000023094/ENSMUSG00000028779/ENSMUSG00000029713/ENSMUSG00000030342/ENSMUSG00000042622
H,01,583,188,4395,HALLMARK_COMPLEMENT,8,197,0.04060913705583756,0.9989063819278544,0.891472514763989,13039/14693/12363/66988/17133/14784/56212/27361,Ctsl/Gnb2/Casp4/Lap3/Maff/Grb2/Rhog/Msrb1,ENSMUSG00000021477/ENSMUSG00000029713/ENSMUSG00000033538/ENSMUSG00000039682/ENSMUSG00000042622/ENSMUSG00000059923/ENSMUSG00000073982/ENSMUSG00000075705
