Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,module
HALLMARK_OXIDATIVE_PHOSPHORYLATION,31,31/188,198/4395,5.37523514906075e-9,12858/15929/66043/12034/68349/11951/11974/228033/11973/66594/30056/22334/55951/72900/20463/66495/30059/170718/66046/67460/66407/67003/66290/24030/56451/66223/66052/14297/18674/230075/625249,Cox5a/Idh3g/Atp5d/Phb2/Ndufs3/Atp5g1/Atp6v0e/Atp5g3/Atp6v1e1/Uqcr11/Timm9/Vdac2/Mpc1/Ndufv2/Cox7a2l/Ndufb3/Timm10/Idh3b/Ndufb5/Decr1/Mrps15/Uqcrc2/Atp6v1g1/Mrps12/Suclg1/Mrpl35/Sdhc/Fxn/Slc25a3/Ndufb6/Gpx4,ENSMUSG00000000088/ENSMUSG00000002010/ENSMUSG00000003072/ENSMUSG00000004264/ENSMUSG00000005510/ENSMUSG00000006057/ENSMUSG00000015575/ENSMUSG00000018770/ENSMUSG00000019210/ENSMUSG00000020163/ENSMUSG00000021079/ENSMUSG00000021771/ENSMUSG00000023861/ENSMUSG00000024099/ENSMUSG00000024248/ENSMUSG00000026032/ENSMUSG00000027076/ENSMUSG00000027406/ENSMUSG00000027673/ENSMUSG00000028223/ENSMUSG00000028861/ENSMUSG00000030884/ENSMUSG00000039105/ENSMUSG00000045948/ENSMUSG00000052738/ENSMUSG00000052962/ENSMUSG00000058076/ENSMUSG00000059363/ENSMUSG00000061904/ENSMUSG00000071014/ENSMUSG00000075706,H,1
HALLMARK_MYC_TARGETS_V1,23,23/188,200/4395,2.3315412531774328e-4,12858/15982/12034/19166/55944/12261/22627/26443/22194/18813/28126/19359/26445/19384/57296/27050/26441/11792/13681/53607/18674/15528/233870,Cox5a/Ifrd1/Phb2/Psma2/Eif3d/C1qbp/Ywhae/Psma6/Ube2e1/Pa2g4/Nop16/Rad23b/Psmb2/Ran/Psmd8/Rps3/Psma4/Apex1/Eif4a1/Snrpa/Slc25a3/Hspe1/Tufm,ENSMUSG00000000088/ENSMUSG00000001627/ENSMUSG00000004264/ENSMUSG00000015671/ENSMUSG00000016554/ENSMUSG00000018446/ENSMUSG00000020849/ENSMUSG00000021024/ENSMUSG00000021774/ENSMUSG00000025364/ENSMUSG00000025869/ENSMUSG00000028426/ENSMUSG00000028837/ENSMUSG00000029430/ENSMUSG00000030591/ENSMUSG00000030744/ENSMUSG00000032301/ENSMUSG00000035960/ENSMUSG00000059796/ENSMUSG00000061479/ENSMUSG00000061904/ENSMUSG00000073676/ENSMUSG00000073838,H,1
HALLMARK_FATTY_ACID_METABOLISM,15,15/188,160/4395,0.043999639500872094,109778/15929/15519/23986/11363/170718/67460/17025/15356/22275/73724/74754/11792/56451/66052,Blvra/Idh3g/Hsp90aa1/Eci2/Acadl/Idh3b/Decr1/Alad/Hmgcl/Urod/Mcee/Dhcr24/Apex1/Suclg1/Sdhc,ENSMUSG00000001999/ENSMUSG00000002010/ENSMUSG00000021270/ENSMUSG00000021417/ENSMUSG00000026003/ENSMUSG00000027406/ENSMUSG00000028223/ENSMUSG00000028393/ENSMUSG00000028672/ENSMUSG00000028684/ENSMUSG00000033429/ENSMUSG00000034926/ENSMUSG00000035960/ENSMUSG00000052738/ENSMUSG00000058076,H,1
HALLMARK_ADIPOGENESIS,17,17/188,200/4395,0.043999639500872094,15929/68349/13476/66594/26379/22340/11363/67460/230027/67914/56451/66052/66205/11770/67809/67247/625249,Idh3g/Ndufs3/Reep5/Uqcr11/Esrra/Vegfb/Acadl/Decr1/Coq3/Coq9/Suclg1/Sdhc/Cd302/Fabp4/Rmdn3/Marc2/Gpx4,ENSMUSG00000002010/ENSMUSG00000005510/ENSMUSG00000005873/ENSMUSG00000020163/ENSMUSG00000024955/ENSMUSG00000024962/ENSMUSG00000026003/ENSMUSG00000028223/ENSMUSG00000028247/ENSMUSG00000031782/ENSMUSG00000052738/ENSMUSG00000058076/ENSMUSG00000060703/ENSMUSG00000062515/ENSMUSG00000070730/ENSMUSG00000073481/ENSMUSG00000075706,H,1
HALLMARK_MTORC1_SIGNALING,17,17/188,200/4395,0.043999639500872094,15982/66143/12317/11951/12301/14718/23997/67890/19181/12527/13595/26441/74754/69071/14433/19167/15528,Ifrd1/Eef1e1/Calr/Atp5g1/Cacybp/Got1/Psmd13/Ufm1/Psmc2/Cd9/Ebp/Psma4/Dhcr24/Tmem97/Gapdh/Psma3/Hspe1,ENSMUSG00000001627/ENSMUSG00000001707/ENSMUSG00000003814/ENSMUSG00000006057/ENSMUSG00000014226/ENSMUSG00000025190/ENSMUSG00000025487/ENSMUSG00000027746/ENSMUSG00000028932/ENSMUSG00000030342/ENSMUSG00000031168/ENSMUSG00000032301/ENSMUSG00000034926/ENSMUSG00000037278/ENSMUSG00000057666/ENSMUSG00000060073/ENSMUSG00000073676,H,1
HALLMARK_INTERFERON_GAMMA_RESPONSE,15,15/188,208/4395,0.24045921955565844,19166/16149/26445/12363/19039/140795/14960/14998/66988/22320/19167/14969/12010/52668/15040,Psma2/Cd74/Psmb2/Casp4/Lgals3bp/P2ry14/H2-Aa/H2-DMa/Lap3/Vamp8/Psma3/H2-Eb1/B2m/Ifi27/H2-T23,ENSMUSG00000015671/ENSMUSG00000024610/ENSMUSG00000028837/ENSMUSG00000033538/ENSMUSG00000033880/ENSMUSG00000036381/ENSMUSG00000036594/ENSMUSG00000037649/ENSMUSG00000039682/ENSMUSG00000050732/ENSMUSG00000060073/ENSMUSG00000060586/ENSMUSG00000060802/ENSMUSG00000064215/ENSMUSG00000067212,H,1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,7,7/188,74/4395,0.24691365473492294,16592/68603/12527/13595/69071/17855/110196,Fabp5/Pmvk/Cd9/Ebp/Tmem97/Mvk/Fdps,ENSMUSG00000027533/ENSMUSG00000027952/ENSMUSG00000030342/ENSMUSG00000031168/ENSMUSG00000037278/ENSMUSG00000041939/ENSMUSG00000059743,H,1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5,5/188,49/4395,0.32527209378343186,15369/21672/109815/625249/68576,Hmox2/Prdx2/Selenos/Gpx4/Lamtor5,ENSMUSG00000004070/ENSMUSG00000005161/ENSMUSG00000075701/ENSMUSG00000075706/ENSMUSG00000087260,H,1
HALLMARK_INTERFERON_ALPHA_RESPONSE,8,8/188,102/4395,0.35284151415517667,16149/73711/19039/66988/19167/12010/52668/15040,Cd74/Mvb12a/Lgals3bp/Lap3/Psma3/B2m/Ifi27/H2-T23,ENSMUSG00000024610/ENSMUSG00000031813/ENSMUSG00000033880/ENSMUSG00000039682/ENSMUSG00000060073/ENSMUSG00000060802/ENSMUSG00000064215/ENSMUSG00000067212,H,1
HALLMARK_MYC_TARGETS_V2,5,5/188,58/4395,0.4623501141809128,18813/28126/69071/227746/15528,Pa2g4/Nop16/Tmem97/Rabepk/Hspe1,ENSMUSG00000025364/ENSMUSG00000025869/ENSMUSG00000037278/ENSMUSG00000070953/ENSMUSG00000073676,H,1
HALLMARK_HEME_METABOLISM,12,12/188,195/4395,0.5368755944596144,11433/71538/109778/21672/12177/17025/22275/17524/66171/66943/66935/15199,Acp5/Fbxo9/Blvra/Prdx2/Bnip3l/Alad/Urod/Mpp1/Pgls/Pqlc1/Cir1/Hebp1,ENSMUSG00000001348/ENSMUSG00000001366/ENSMUSG00000001999/ENSMUSG00000005161/ENSMUSG00000022051/ENSMUSG00000028393/ENSMUSG00000028684/ENSMUSG00000031402/ENSMUSG00000031807/ENSMUSG00000034006/ENSMUSG00000041777/ENSMUSG00000042770,H,1
HALLMARK_ANDROGEN_RESPONSE,7,7/188,111/4395,0.7506968700952473,18813/13167/71817/66065/72155/74754/12010,Pa2g4/Dbi/Tmem50a/Hsd17b14/Cenpn/Dhcr24/B2m,ENSMUSG00000025364/ENSMUSG00000026385/ENSMUSG00000028822/ENSMUSG00000030825/ENSMUSG00000031756/ENSMUSG00000034926/ENSMUSG00000060802,H,1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,6,6/188,105/4395,0.9553314420667716,12317/67605/192662/15461/21937/14784,Calr/Akt1s1/Arhgdia/Hras/Tnfrsf1a/Grb2,ENSMUSG00000003814/ENSMUSG00000011096/ENSMUSG00000025132/ENSMUSG00000025499/ENSMUSG00000030341/ENSMUSG00000059923,H,1
HALLMARK_PEROXISOME,6,6/188,107/4395,0.9553314420667716,23986/15461/15356/76263/74754/110196,Eci2/Hras/Hmgcl/Gstk1/Dhcr24/Fdps,ENSMUSG00000021417/ENSMUSG00000025499/ENSMUSG00000028672/ENSMUSG00000029864/ENSMUSG00000034926/ENSMUSG00000059743,H,1
HALLMARK_DNA_REPAIR,8,8/188,150/4395,0.9553314420667716,11821/56044/67996/18100/66979/68134/22059/625249,Aprt/Rala/Srsf6/Mrpl40/Pole4/Upf3b/Trp53/Gpx4,ENSMUSG00000006589/ENSMUSG00000008859/ENSMUSG00000016921/ENSMUSG00000022706/ENSMUSG00000030042/ENSMUSG00000036572/ENSMUSG00000059552/ENSMUSG00000075706,H,1
HALLMARK_NOTCH_SIGNALING,1,1/188,32/4395,0.9989063819278544,21402,Skp1a,ENSMUSG00000036309,H,1
HALLMARK_PANCREAS_BETA_CELLS,1,1/188,40/4395,0.9989063819278544,20813,Srp14,ENSMUSG00000009549,H,1
HALLMARK_WNT_BETA_CATENIN_SIGNALING,1,1/188,42/4395,0.9989063819278544,22059,Trp53,ENSMUSG00000059552,H,1
HALLMARK_SPERMATOGENESIS,1,1/188,135/4395,0.9989063819278544,22099,Tsn,ENSMUSG00000026374,H,1
HALLMARK_TGF_BETA_SIGNALING,2,2/188,54/4395,0.9989063819278544,21803/11848,Tgfb1/Rhoa,ENSMUSG00000002603/ENSMUSG00000007815,H,1
HALLMARK_UV_RESPONSE_DN,2,2/188,144/4395,0.9989063819278544,17748/12306,Mt1/Anxa2,ENSMUSG00000031765/ENSMUSG00000032231,H,1
HALLMARK_KRAS_SIGNALING_UP,2,2/188,204/4395,0.9989063819278544,16792/71665,Laptm5/Fuca1,ENSMUSG00000028581/ENSMUSG00000028673,H,1
HALLMARK_KRAS_SIGNALING_DN,2,2/188,205/4395,0.9989063819278544,56358/13645,Copz2/Egf,ENSMUSG00000018672/ENSMUSG00000028017,H,1
HALLMARK_PROTEIN_SECRETION,3,3/188,96/4395,0.9989063819278544,66366/12512/12757,Ergic3/Cd63/Clta,ENSMUSG00000005881/ENSMUSG00000025351/ENSMUSG00000028478,H,1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3,3/188,200/4395,0.9989063819278544,21803/71665/11852,Tgfb1/Fuca1/Rhob,ENSMUSG00000002603/ENSMUSG00000028673/ENSMUSG00000054364,H,1
HALLMARK_IL6_JAK_STAT3_SIGNALING,4,4/188,88/4395,0.9989063819278544,21803/21937/12527/14784,Tgfb1/Tnfrsf1a/Cd9/Grb2,ENSMUSG00000002603/ENSMUSG00000030341/ENSMUSG00000030342/ENSMUSG00000059923,H,1
HALLMARK_BILE_ACID_METABOLISM,4,4/188,113/4395,0.9989063819278544,111175/76263/74754/12642,Pecr/Gstk1/Dhcr24/Ch25h,ENSMUSG00000026189/ENSMUSG00000029864/ENSMUSG00000034926/ENSMUSG00000050370,H,1
HALLMARK_INFLAMMATORY_RESPONSE,4,4/188,199/4395,0.9989063819278544,50778/20295/56212/109815,Rgs1/Ccl17/Rhog/Selenos,ENSMUSG00000026358/ENSMUSG00000031780/ENSMUSG00000073982/ENSMUSG00000075701,H,1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,4,4/188,200/4395,0.9989063819278544,56722/17133/11852/12044,Litaf/Maff/Rhob/Bcl2a1a,ENSMUSG00000022500/ENSMUSG00000042622/ENSMUSG00000054364/ENSMUSG00000102037,H,1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5,5/188,113/4395,0.9989063819278544,12317/70640/11911/15270/13681,Calr/Dcp2/Atf4/H2afx/Eif4a1,ENSMUSG00000003814/ENSMUSG00000024472/ENSMUSG00000042406/ENSMUSG00000049932/ENSMUSG00000059796,H,1
HALLMARK_APICAL_JUNCTION,5,5/188,199/4395,0.9989063819278544,20410/15461/11790/20163/18515,Sorbs3/Hras/Speg/Rsu1/Pbx2,ENSMUSG00000022091/ENSMUSG00000025499/ENSMUSG00000026207/ENSMUSG00000026727/ENSMUSG00000034673,H,1
HALLMARK_MITOTIC_SPINDLE,5,5/188,199/4395,0.9989063819278544,22294/22627/192662/68724/76932,Uxt/Ywhae/Arhgdia/Arl8a/Arfip2,ENSMUSG00000001134/ENSMUSG00000020849/ENSMUSG00000025132/ENSMUSG00000026426/ENSMUSG00000030881,H,1
HALLMARK_COAGULATION,6,6/188,141/4395,0.9989063819278544,13039/76467/67898/14693/12527/17133,Ctsl/Msrb2/Pef1/Gnb2/Cd9/Maff,ENSMUSG00000021477/ENSMUSG00000023094/ENSMUSG00000028779/ENSMUSG00000029713/ENSMUSG00000030342/ENSMUSG00000042622,H,1
HALLMARK_G2M_CHECKPOINT,6,6/188,199/4395,0.9989063819278544,21803/15331/13645/19359/272551/15270,Tgfb1/Hmgn2/Egf/Rad23b/Gins2/H2afx,ENSMUSG00000002603/ENSMUSG00000003038/ENSMUSG00000028017/ENSMUSG00000028426/ENSMUSG00000031821/ENSMUSG00000049932,H,1
HALLMARK_E2F_TARGETS,6,6/188,200/4395,0.9989063819278544,18813/100336/19384/66979/15270/22059,Pa2g4/Ppp1r8/Ran/Pole4/H2afx/Trp53,ENSMUSG00000025364/ENSMUSG00000028882/ENSMUSG00000029430/ENSMUSG00000030042/ENSMUSG00000049932/ENSMUSG00000059552,H,1
HALLMARK_GLYCOLYSIS,6,6/188,200/4395,0.9989063819278544,22122/14718/68507/58810/66171/66052,Tsta3/Got1/Ppfia4/Akr1a1/Pgls/Sdhc,ENSMUSG00000022570/ENSMUSG00000025190/ENSMUSG00000026458/ENSMUSG00000028692/ENSMUSG00000031807/ENSMUSG00000058076,H,1
HALLMARK_IL2_STAT5_SIGNALING,6,6/188,200/4395,0.9989063819278544,64138/68043/14873/17133/11852/625249,Ctsz/Eef1akmt1/Gsto1/Maff/Rhob/Gpx4,ENSMUSG00000016256/ENSMUSG00000021951/ENSMUSG00000025068/ENSMUSG00000042622/ENSMUSG00000054364/ENSMUSG00000075706,H,1
HALLMARK_XENOBIOTIC_METABOLISM,6,6/188,202/4395,0.9989063819278544,16000/110172/14873/21937/69071/67880,Igf1/Slc35b1/Gsto1/Tnfrsf1a/Tmem97/Dcxr,ENSMUSG00000020053/ENSMUSG00000020873/ENSMUSG00000025068/ENSMUSG00000030341/ENSMUSG00000037278/ENSMUSG00000039450,H,1
HALLMARK_UV_RESPONSE_UP,7,7/188,162/4395,0.9989063819278544,59045/13039/22275/74325/15270/11852/15040,Stard3/Ctsl/Urod/Cltb/H2afx/Rhob/H2-T23,ENSMUSG00000018167/ENSMUSG00000021477/ENSMUSG00000028684/ENSMUSG00000047547/ENSMUSG00000049932/ENSMUSG00000054364/ENSMUSG00000067212,H,1
HALLMARK_MYOGENESIS,7,7/188,200/4395,0.9989063819278544,15982/21803/16000/20410/11790/68507/110196,Ifrd1/Tgfb1/Igf1/Sorbs3/Speg/Ppfia4/Fdps,ENSMUSG00000001627/ENSMUSG00000002603/ENSMUSG00000020053/ENSMUSG00000022091/ENSMUSG00000026207/ENSMUSG00000026458/ENSMUSG00000059743,H,1
HALLMARK_P53_PATHWAY,7,7/188,200/4395,0.9989063819278544,21803/15461/71665/69076/67880/22320/22059,Tgfb1/Hras/Fuca1/Triap1/Dcxr/Vamp8/Trp53,ENSMUSG00000002603/ENSMUSG00000025499/ENSMUSG00000028673/ENSMUSG00000029535/ENSMUSG00000039450/ENSMUSG00000050732/ENSMUSG00000059552,H,1
HALLMARK_ESTROGEN_RESPONSE_LATE,7,7/188,206/4395,0.9989063819278544,17434/57266/22122/16592/12527/272551/67880,Mocs2/Cxcl14/Tsta3/Fabp5/Cd9/Gins2/Dcxr,ENSMUSG00000015536/ENSMUSG00000021508/ENSMUSG00000022570/ENSMUSG00000027533/ENSMUSG00000030342/ENSMUSG00000031821/ENSMUSG00000039450,H,1
HALLMARK_APOPTOSIS,8,8/188,161/4395,0.9989063819278544,22334/12177/13595/12363/223453/11852/65111/625249,Vdac2/Bnip3l/Ebp/Casp4/Dap/Rhob/Dap3/Gpx4,ENSMUSG00000021771/ENSMUSG00000022051/ENSMUSG00000031168/ENSMUSG00000033538/ENSMUSG00000039168/ENSMUSG00000054364/ENSMUSG00000068921/ENSMUSG00000075706,H,1
HALLMARK_COMPLEMENT,8,8/188,197/4395,0.9989063819278544,13039/14693/12363/66988/17133/14784/56212/27361,Ctsl/Gnb2/Casp4/Lap3/Maff/Grb2/Rhog/Msrb1,ENSMUSG00000021477/ENSMUSG00000029713/ENSMUSG00000033538/ENSMUSG00000039682/ENSMUSG00000042622/ENSMUSG00000059923/ENSMUSG00000073982/ENSMUSG00000075705,H,1
HALLMARK_HYPOXIA,8,8/188,201/4395,0.9989063819278544,12177/68507/17748/12306/56174/17133/17035/14433,Bnip3l/Ppfia4/Mt1/Anxa2/Nagk/Maff/Lxn/Gapdh,ENSMUSG00000022051/ENSMUSG00000026458/ENSMUSG00000031765/ENSMUSG00000032231/ENSMUSG00000034744/ENSMUSG00000042622/ENSMUSG00000047557/ENSMUSG00000057666,H,1
HALLMARK_ALLOGRAFT_REJECTION,8,8/188,204/4395,0.9989063819278544,21803/55944/16149/94062/14960/14998/12010/15040,Tgfb1/Eif3d/Cd74/Mrpl3/H2-Aa/H2-DMa/B2m/H2-T23,ENSMUSG00000002603/ENSMUSG00000016554/ENSMUSG00000024610/ENSMUSG00000032563/ENSMUSG00000036594/ENSMUSG00000037649/ENSMUSG00000060802/ENSMUSG00000067212,H,1
HALLMARK_MITOTIC_SPINDLE,27,27/142,199/4395,3.881673361638943e-9,17925/71774/94176/20742/21973/18080/17886/70799/286940/18129/208628/19303/192176/171207/71819/233276/226407/108903/214444/277360/213498/223697/20740/381921/16561/76707/101706,Myo9b/Shroom1/Dock2/Sptbn1/Top2a/Nin/Myh9/Cep192/Flnb/Notch2/Kntc1/Pxn/Flna/Arhgap4/Kif23/Tubgcp5/Rab3gap1/Tbcd/Cdk5rap2/Prex1/Arhgef11/Sun2/Sptan1/Taok2/Kif1b/Clasp1/Numa1,ENSMUSG00000004677/ENSMUSG00000018387/ENSMUSG00000020143/ENSMUSG00000020315/ENSMUSG00000020914/ENSMUSG00000021068/ENSMUSG00000022443/ENSMUSG00000024542/ENSMUSG00000025278/ENSMUSG00000027878/ENSMUSG00000029414/ENSMUSG00000029528/ENSMUSG00000031328/ENSMUSG00000031389/ENSMUSG00000032254/ENSMUSG00000033790/ENSMUSG00000036104/ENSMUSG00000039230/ENSMUSG00000039298/ENSMUSG00000039621/ENSMUSG00000041977/ENSMUSG00000042524/ENSMUSG00000057738/ENSMUSG00000059981/ENSMUSG00000063077/ENSMUSG00000064302/ENSMUSG00000066306,H,2
HALLMARK_NOTCH_SIGNALING,3,3/142,32/4395,0.7438304810666527,18129/14369/14362,Notch2/Fzd7/Fzd1,ENSMUSG00000027878/ENSMUSG00000041075/ENSMUSG00000044674,H,2
HALLMARK_HEDGEHOG_SIGNALING,3,3/142,36/4395,0.7438304810666527,17886/18187/21887,Myh9/Nrp2/Tle3,ENSMUSG00000022443/ENSMUSG00000025969/ENSMUSG00000032280,H,2
