Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory,module
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,4,4/86,114/5055,0.5955744322741143,53624/18709/19247/18750,Cldn7/Pik3r2/Ptpn11/Prkca,ENSMUSG00000018569/ENSMUSG00000031834/ENSMUSG00000043733/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_PEROXISOME,3,3/86,78/5055,0.6537190595513988,235674/20655/330450,Acaa1b/Sod1/Far2,ENSMUSG00000010651/ENSMUSG00000022982/ENSMUSG00000030303,C2,CP:KEGG,0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,2,2/86,45/5055,0.6680992057715991,235674/11761,Acaa1b/Aox1,ENSMUSG00000010651/ENSMUSG00000063558,C2,CP:KEGG,0
KEGG_AUTOIMMUNE_THYROID_DISEASE,2,2/86,47/5055,0.6680992057715991,21819/667977,Tg/Gm8909,ENSMUSG00000053469/ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_NOTCH_SIGNALING_PATHWAY,2,2/86,47/5055,0.6680992057715991,19719/66935,Rfng/Cir1,ENSMUSG00000025158/ENSMUSG00000041777,C2,CP:KEGG,0
KEGG_TYPE_II_DIABETES_MELLITUS,2,2/86,47/5055,0.6680992057715991,18709/67296,Pik3r2/Socs4,ENSMUSG00000031834/ENSMUSG00000048379,C2,CP:KEGG,0
KEGG_GAP_JUNCTION,3,3/86,86/5055,0.6680992057715991,19092/19108/18750,Prkg2/Prkx/Prkca,ENSMUSG00000029334/ENSMUSG00000035725/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_CELL_CYCLE,4,4/86,123/5055,0.6680992057715991,17218/12235/18817/12578,Mcm5/Bub1/Plk1/Cdkn2a,ENSMUSG00000005410/ENSMUSG00000027379/ENSMUSG00000030867/ENSMUSG00000044303,C2,CP:KEGG,0
KEGG_TIGHT_JUNCTION,4,4/86,131/5055,0.6680992057715991,72058/53624/27375/18750,Igsf5/Cldn7/Tjp3/Prkca,ENSMUSG00000000159/ENSMUSG00000018569/ENSMUSG00000034917/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,2,2/86,49/5055,0.6908291191966216,218832/69870,Polr3a/Polr3gl,ENSMUSG00000025280/ENSMUSG00000028104,C2,CP:KEGG,0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,3,3/86,95/5055,0.725729774087088,18479/18709/18750,Pak1/Pik3r2/Prkca,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_VIBRIO_CHOLERAE_INFECTION,2,2/86,53/5055,0.7333157830392941,19108/18750,Prkx/Prkca,ENSMUSG00000035725/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_BASAL_CELL_CARCINOMA,2,2/86,55/5055,0.7333157830392941,12159/22419,Bmp4/Wnt5b,ENSMUSG00000021835/ENSMUSG00000030170,C2,CP:KEGG,0
KEGG_MELANOGENESIS,3,3/86,99/5055,0.7333157830392941,22419/19108/18750,Wnt5b/Prkx/Prkca,ENSMUSG00000030170/ENSMUSG00000035725/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,1,1/86,17/5055,0.7535871452359167,13123,Cyp7b1,ENSMUSG00000039519,C2,CP:KEGG,0
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,1,1/86,21/5055,0.7588462931574514,235674,Acaa1b,ENSMUSG00000010651,C2,CP:KEGG,0
KEGG_NITROGEN_METABOLISM,1,1/86,22/5055,0.7588462931574514,216456,Gls2,ENSMUSG00000044005,C2,CP:KEGG,0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1,1/86,24/5055,0.7588462931574514,11761,Aox1,ENSMUSG00000063558,C2,CP:KEGG,0
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1,1/86,31/5055,0.7588462931574514,216456,Gls2,ENSMUSG00000044005,C2,CP:KEGG,0
KEGG_BASE_EXCISION_REPAIR,1,1/86,33/5055,0.7588462931574514,18207,Nthl1,ENSMUSG00000041429,C2,CP:KEGG,0
KEGG_BASAL_TRANSCRIPTION_FACTORS,1,1/86,34/5055,0.7588462931574514,68776,Taf11,ENSMUSG00000024218,C2,CP:KEGG,0
KEGG_DNA_REPLICATION,1,1/86,35/5055,0.7588462931574514,17218,Mcm5,ENSMUSG00000005410,C2,CP:KEGG,0
KEGG_PRIMARY_IMMUNODEFICIENCY,1,1/86,35/5055,0.7588462931574514,11486,Ada,ENSMUSG00000017697,C2,CP:KEGG,0
KEGG_GRAFT_VERSUS_HOST_DISEASE,1,1/86,36/5055,0.7588462931574514,667977,Gm8909,ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_ALLOGRAFT_REJECTION,1,1/86,37/5055,0.7588462931574514,667977,Gm8909,ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_SPHINGOLIPID_METABOLISM,1,1/86,39/5055,0.7588462931574514,70059,Degs2,ENSMUSG00000021263,C2,CP:KEGG,0
KEGG_TRYPTOPHAN_METABOLISM,1,1/86,40/5055,0.7588462931574514,11761,Aox1,ENSMUSG00000063558,C2,CP:KEGG,0
KEGG_FATTY_ACID_METABOLISM,1,1/86,41/5055,0.7588462931574514,235674,Acaa1b,ENSMUSG00000010651,C2,CP:KEGG,0
KEGG_TYROSINE_METABOLISM,1,1/86,41/5055,0.7588462931574514,11761,Aox1,ENSMUSG00000063558,C2,CP:KEGG,0
KEGG_BLADDER_CANCER,1,1/86,42/5055,0.7588462931574514,12578,Cdkn2a,ENSMUSG00000044303,C2,CP:KEGG,0
KEGG_TASTE_TRANSDUCTION,1,1/86,43/5055,0.7588462931574514,19108,Prkx,ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_TYPE_I_DIABETES_MELLITUS,1,1/86,43/5055,0.7588462931574514,667977,Gm8909,ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1,1/86,43/5055,0.7588462931574514,19108,Prkx,ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_COLORECTAL_CANCER,2,2/86,62/5055,0.7588462931574514,18709/72993,Pik3r2/Appl1,ENSMUSG00000031834/ENSMUSG00000040760,C2,CP:KEGG,0
KEGG_LONG_TERM_POTENTIATION,2,2/86,68/5055,0.7588462931574514,19108/18750,Prkx/Prkca,ENSMUSG00000035725/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,2,2/86,69/5055,0.7588462931574514,16642/667977,Klrc2/Gm8909,ENSMUSG00000052736/ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_LONG_TERM_DEPRESSION,2,2/86,69/5055,0.7588462931574514,19092/18750,Prkg2/Prkca,ENSMUSG00000029334/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,2,2/86,70/5055,0.7588462931574514,15139/21824,Hc/Thbd,ENSMUSG00000026874/ENSMUSG00000074743,C2,CP:KEGG,0
KEGG_PANCREATIC_CANCER,2,2/86,70/5055,0.7588462931574514,18709/12578,Pik3r2/Cdkn2a,ENSMUSG00000031834/ENSMUSG00000044303,C2,CP:KEGG,0
KEGG_VIRAL_MYOCARDITIS,2,2/86,70/5055,0.7588462931574514,11352/667977,Abl2/Gm8909,ENSMUSG00000026596/ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_MELANOMA,2,2/86,71/5055,0.7588462931574514,18709/12578,Pik3r2/Cdkn2a,ENSMUSG00000031834/ENSMUSG00000044303,C2,CP:KEGG,0
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,2,2/86,75/5055,0.7588462931574514,18709/18750,Pik3r2/Prkca,ENSMUSG00000031834/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_VEGF_SIGNALING_PATHWAY,2,2/86,75/5055,0.7588462931574514,18709/18750,Pik3r2/Prkca,ENSMUSG00000031834/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_CARDIAC_MUSCLE_CONTRACTION,2,2/86,76/5055,0.7588462931574514,11932/21924,Atp1b2/Tnnc1,ENSMUSG00000041329/ENSMUSG00000091898,C2,CP:KEGG,0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,2,2/86,78/5055,0.7588462931574514,18709/18750,Pik3r2/Prkca,ENSMUSG00000031834/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_APOPTOSIS,2,2/86,82/5055,0.7588462931574514,18709/19108,Pik3r2/Prkx,ENSMUSG00000031834/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_RIBOSOME,2,2/86,84/5055,0.7588462931574514,67097/22121,Rps10/Rpl13a,ENSMUSG00000052146/ENSMUSG00000074129,C2,CP:KEGG,0
KEGG_DILATED_CARDIOMYOPATHY,2,2/86,89/5055,0.7588462931574514,19108/21924,Prkx/Tnnc1,ENSMUSG00000035725/ENSMUSG00000091898,C2,CP:KEGG,0
KEGG_GNRH_SIGNALING_PATHWAY,2,2/86,97/5055,0.7588462931574514,19108/18750,Prkx/Prkca,ENSMUSG00000035725/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,3,3/86,108/5055,0.7588462931574514,18479/18709/214230,Pak1/Pik3r2/Pak6,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000074923,C2,CP:KEGG,0
KEGG_OXIDATIVE_PHOSPHORYLATION,3,3/86,127/5055,0.7588462931574514,69802/70316/17718,Cox11/Ndufab1/ND3,ENSMUSG00000020544/ENSMUSG00000030869/ENSMUSG00000064360,C2,CP:KEGG,0
KEGG_INSULIN_SIGNALING_PATHWAY,3,3/86,135/5055,0.7588462931574514,18709/19108/67296,Pik3r2/Prkx/Socs4,ENSMUSG00000031834/ENSMUSG00000035725/ENSMUSG00000048379,C2,CP:KEGG,0
KEGG_ENDOCYTOSIS,4,4/86,182/5055,0.7588462931574514,116733/74998/667977/67064,Vps4a/Rab11fip2/Gm8909/Chmp1b,ENSMUSG00000031913/ENSMUSG00000040022/ENSMUSG00000073402/ENSMUSG00000109901,C2,CP:KEGG,0
KEGG_FOCAL_ADHESION,4,4/86,197/5055,0.7588462931574514,18479/18709/18750/214230,Pak1/Pik3r2/Prkca/Pak6,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000050965/ENSMUSG00000074923,C2,CP:KEGG,0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,5,5/86,266/5055,0.7588462931574514,11541/14652/114229/19218/78134,Adora2b/Glp1r/Kiss1r/Ptger3/Lpar4,ENSMUSG00000018500/ENSMUSG00000024027/ENSMUSG00000035773/ENSMUSG00000040016/ENSMUSG00000049929,C2,CP:KEGG,0
KEGG_PATHWAYS_IN_CANCER,7,7/86,337/5055,0.7588462931574514,12159/14013/22419/18709/72993/12578/18750,Bmp4/Mecom/Wnt5b/Pik3r2/Appl1/Cdkn2a/Prkca,ENSMUSG00000021835/ENSMUSG00000027684/ENSMUSG00000030170/ENSMUSG00000031834/ENSMUSG00000040760/ENSMUSG00000044303/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_LYSINE_DEGRADATION,1,1/86,44/5055,0.7611907895310229,225888,Kmt5b,ENSMUSG00000045098,C2,CP:KEGG,0
KEGG_GLUTATHIONE_METABOLISM,1,1/86,48/5055,0.7650925488019177,14778,Gpx3,ENSMUSG00000018339,C2,CP:KEGG,0
KEGG_GLYCEROLIPID_METABOLISM,1,1/86,49/5055,0.7650925488019177,215456,Gpat2,ENSMUSG00000046338,C2,CP:KEGG,0
KEGG_ARGININE_AND_PROLINE_METABOLISM,1,1/86,52/5055,0.7650925488019177,216456,Gls2,ENSMUSG00000044005,C2,CP:KEGG,0
KEGG_ENDOMETRIAL_CANCER,1,1/86,52/5055,0.7650925488019177,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_MTOR_SIGNALING_PATHWAY,1,1/86,52/5055,0.7650925488019177,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_STEROID_HORMONE_BIOSYNTHESIS,1,1/86,52/5055,0.7650925488019177,13123,Cyp7b1,ENSMUSG00000039519,C2,CP:KEGG,0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,1,1/86,53/5055,0.7650925488019177,20655,Sod1,ENSMUSG00000022982,C2,CP:KEGG,0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1,1/86,53/5055,0.7650925488019177,18750,Prkca,ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_ACUTE_MYELOID_LEUKEMIA,1,1/86,57/5055,0.7650925488019177,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_RNA_DEGRADATION,1,1/86,57/5055,0.7650925488019177,66446,Exosc7,ENSMUSG00000025785,C2,CP:KEGG,0
KEGG_ARACHIDONIC_ACID_METABOLISM,1,1/86,58/5055,0.7650925488019177,14778,Gpx3,ENSMUSG00000018339,C2,CP:KEGG,0
KEGG_RETINOL_METABOLISM,1,1/86,58/5055,0.7650925488019177,13082,Cyp26a1,ENSMUSG00000024987,C2,CP:KEGG,0
KEGG_PARKINSONS_DISEASE,2,2/86,123/5055,0.7650925488019177,70316/17718,Ndufab1/ND3,ENSMUSG00000030869/ENSMUSG00000064360,C2,CP:KEGG,0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,2,2/86,125/5055,0.7650925488019177,18709/19247,Pik3r2/Ptpn11,ENSMUSG00000031834/ENSMUSG00000043733,C2,CP:KEGG,0
KEGG_CHEMOKINE_SIGNALING_PATHWAY,3,3/86,176/5055,0.7650925488019177,18479/18709/19108,Pak1/Pik3r2/Prkx,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_CELL_ADHESION_MOLECULES_CAMS,2,2/86,129/5055,0.7766847201968118,53624/667977,Cldn7/Gm8909,ENSMUSG00000018569/ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,2,2/86,132/5055,0.7766847201968118,68612/15204,Ube2c/Herc2,ENSMUSG00000001403/ENSMUSG00000030451,C2,CP:KEGG,0
KEGG_MAPK_SIGNALING_PATHWAY,4,4/86,263/5055,0.7766847201968118,14013/18479/19108/18750,Mecom/Pak1/Prkx/Prkca,ENSMUSG00000027684/ENSMUSG00000030774/ENSMUSG00000035725/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,1,1/86,65/5055,0.7797797238389367,11761,Aox1,ENSMUSG00000063558,C2,CP:KEGG,0
KEGG_P53_SIGNALING_PATHWAY,1,1/86,66/5055,0.7797797238389367,12578,Cdkn2a,ENSMUSG00000044303,C2,CP:KEGG,0
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1,1/86,67/5055,0.7797797238389367,19247,Ptpn11,ENSMUSG00000043733,C2,CP:KEGG,0
KEGG_PPAR_SIGNALING_PATHWAY,1,1/86,70/5055,0.7826111219291211,235674,Acaa1b,ENSMUSG00000010651,C2,CP:KEGG,0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,3,3/86,210/5055,0.7826111219291211,18479/18709/214230,Pak1/Pik3r2/Pak6,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000074923,C2,CP:KEGG,0
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1,1/86,76/5055,0.8002315782702847,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,1,1/86,76/5055,0.8002315782702847,215456,Gpat2,ENSMUSG00000046338,C2,CP:KEGG,0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,1,1/86,83/5055,0.8080313178581516,21924,Tnnc1,ENSMUSG00000091898,C2,CP:KEGG,0
KEGG_SMALL_CELL_LUNG_CANCER,1,1/86,83/5055,0.8080313178581516,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_TGF_BETA_SIGNALING_PATHWAY,1,1/86,84/5055,0.8080313178581516,12159,Bmp4,ENSMUSG00000021835,C2,CP:KEGG,0
KEGG_ALZHEIMERS_DISEASE,2,2/86,160/5055,0.8080313178581516,70316/20192,Ndufab1/Ryr3,ENSMUSG00000030869/ENSMUSG00000057378,C2,CP:KEGG,0
KEGG_HUNTINGTONS_DISEASE,2,2/86,172/5055,0.8332293139440279,20655/70316,Sod1/Ndufab1,ENSMUSG00000022982/ENSMUSG00000030869,C2,CP:KEGG,0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1,1/86,96/5055,0.8393943150142104,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_PROSTATE_CANCER,1,1/86,102/5055,0.8513645762312976,18709,Pik3r2,ENSMUSG00000031834,C2,CP:KEGG,0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,1,1/86,117/5055,0.884068672272079,15139,Hc,ENSMUSG00000026874,C2,CP:KEGG,0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1,1/86,243/5055,0.9860703456320281,237313,Il20ra,ENSMUSG00000020007,C2,CP:KEGG,0
KEGG_OLFACTORY_TRANSDUCTION,2,2/86,337/5055,0.9860703456320281,19092/19108,Prkg2/Prkx,ENSMUSG00000029334/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_RIBOSOME,67,67/231,84/5055,9.622531440535848e-76,270106/27207/26961/76846/56040/20084/267019/75617/20103/19921/78294/20088/27370/67186/67115/20091/67427/19934/19988/19943/27050/20102/67891/16785/20090/67941/20055/14109/66481/20085/19933/67281/19989/16898/76808/19981/26451/20005/20116/66475/66483/67671/19951/54217/100503670/19899/67025/27367/57808/19941/20115/20068/20042/68436/319195/27176/66489/19942/20054/11837/54127/65019/114641/19982/67248/57294/68052,Rpl13/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rps15a/Rps25/Rps5/Rpl19/Rps27a/Rps24/Rps26/Rplp2/Rpl14/Rps3a1/Rps20/Rpl22/Rpl6/Rpl28/Rps3/Rps4x/Rpl4/Rpsa/Rps29/Rps27l/Rps16/Fau/Rps21/Rps19/Rpl21/Rpl37/Rpl7/Rps2/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rps23/Rpl36al/Rpl38/Rpl32/Rpl36/Rpl5/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps7/Rps17/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Rpl23/Rpl31/Rpl36a/Rpl39/Rps27/Rps13,ENSMUSG00000000740/ENSMUSG00000003429/ENSMUSG00000003970/ENSMUSG00000006333/ENSMUSG00000007892/ENSMUSG00000008668/ENSMUSG00000008683/ENSMUSG00000009927/ENSMUSG00000012848/ENSMUSG00000017404/ENSMUSG00000020460/ENSMUSG00000025290/ENSMUSG00000025362/ENSMUSG00000025508/ENSMUSG00000025794/ENSMUSG00000028081/ENSMUSG00000028234/ENSMUSG00000028936/ENSMUSG00000029614/ENSMUSG00000030432/ENSMUSG00000030744/ENSMUSG00000031320/ENSMUSG00000032399/ENSMUSG00000032518/ENSMUSG00000034892/ENSMUSG00000036781/ENSMUSG00000037563/ENSMUSG00000038274/ENSMUSG00000039001/ENSMUSG00000040952/ENSMUSG00000041453/ENSMUSG00000041841/ENSMUSG00000043716/ENSMUSG00000044533/ENSMUSG00000045128/ENSMUSG00000046330/ENSMUSG00000046364/ENSMUSG00000047215/ENSMUSG00000047675/ENSMUSG00000049517/ENSMUSG00000049751/ENSMUSG00000057322/ENSMUSG00000057841/ENSMUSG00000057863/ENSMUSG00000058558/ENSMUSG00000059070/ENSMUSG00000059291/ENSMUSG00000060036/ENSMUSG00000060636/ENSMUSG00000060938/ENSMUSG00000061477/ENSMUSG00000061787/ENSMUSG00000061983/ENSMUSG00000062006/ENSMUSG00000062328/ENSMUSG00000062647/ENSMUSG00000062997/ENSMUSG00000063316/ENSMUSG00000063457/ENSMUSG00000067274/ENSMUSG00000067288/ENSMUSG00000071415/ENSMUSG00000073702/ENSMUSG00000079435/ENSMUSG00000079641/ENSMUSG00000090733/ENSMUSG00000090862,C2,CP:KEGG,1
